id_usager,id_pays,age,sexe,place_vehicule,gravite,cat_usager
407,1,82.0,Féminin,Avant gauche,Indemne,Conducteur
408,1,47.0,Masculin,Avant gauche,Tué,Conducteur
409,1,66.0,Féminin,Avant gauche,Indemne,Conducteur
410,1,70.0,Féminin,Avant droit,Indemne,Passager
411,1,79.0,Féminin,Arrière gauche,Blessé hospitalisé,Passager
412,1,43.0,Féminin,Avant gauche,Indemne,Conducteur
413,1,31.0,Masculin,Avant droit,Blessé léger,Passager
414,1,15.0,Féminin,Avant droit,Blessé léger,Passager
415,1,40.0,Masculin,Unknown,Tué,Piéton
416,1,58.0,Féminin,Avant gauche,Indemne,Conducteur
417,1,76.0,Masculin,Avant gauche,Blessé léger,Conducteur
418,1,22.0,Féminin,Avant droit,Indemne,Passager
419,1,69.0,Masculin,Avant gauche,Blessé hospitalisé,Conducteur
420,1,23.0,Féminin,Avant droit,Blessé léger,Passager
421,1,61.0,Masculin,Avant gauche,Blessé léger,Conducteur
422,1,50.0,Masculin,Avant gauche,Blessé hospitalisé,Conducteur
423,1,16.0,Féminin,Avant gauche,Indemne,Conducteur
424,1,60.0,Féminin,Unknown,Blessé hospitalisé,Piéton
425,1,66.0,Féminin,Avant gauche,Blessé léger,Conducteur
426,1,48.0,Masculin,Arrière gauche,Indemne,Passager
427,1,69.0,Masculin,Avant droit,Blessé léger,Passager
428,1,53.0,Masculin,Arrière gauche,Blessé léger,Passager
429,1,60.0,Féminin,Avant gauche,Indemne,Conducteur
430,1,83.0,Masculin,Avant gauche,Tué,Conducteur
431,1,81.0,Féminin,Avant droit,Tué,Passager
432,1,78.0,Féminin,Avant gauche,Blessé hospitalisé,Conducteur
