id_vehicule,id_pays,type_vehicule,manoeuvre,nb_occupants,motorisation
263,826,Goods vehicle over 3.5t and up to 7.5t,Reversing,0,Unknown
264,826,Agricultural vehicle,Going ahead,4,Heavy oil
265,826,Motorcycle over 125cc and up to 500cc,Waiting to turn left,0,Petrol
266,826,Car,Overtaking moving vehicle on offside,9,Petrol
267,826,Motorcycle over 125cc and up to 500cc,Slowing or stopping,0,Petrol
268,826,Taxi/Private hire car,Going ahead,0,Hybrid electric
269,826,Car,Going ahead,4,Petrol
270,826,Car,Turning right,4,Heavy oil
271,826,Van/Goods vehicle 3.5t and under,Moving off,0,Unknown
272,826,Car,Moving off,3,Petrol
273,826,Car,Parked,0,Hybrid electric
274,826,Bus or coach (17+ passenger seats),Waiting to go ahead,0,Electric
275,826,Motorcycle 125cc and under,Unknown,,Petrol
276,826,Bus or coach (17+ passenger seats),Overtaking static vehicle on offside,0,Heavy oil
277,826,Goods vehicle over 7.5t,Changing lane to right,,Heavy oil
278,826,Goods vehicle over 7.5t,Going ahead,0,Unknown
279,826,Goods vehicle over 7.5t,Changing lane to right,0,Heavy oil
280,826,Motorcycle over 125cc and up to 500cc,Overtaking moving vehicle on offside,0,Petrol
281,826,Taxi/Private hire car,Turning right,0,Electric
282,826,Taxi/Private hire car,Waiting to turn right,0,Electric
283,826,Car,Overtaking static vehicle on offside,0,Electric
284,826,Van/Goods vehicle 3.5t and under,Reversing,,Heavy oil
285,826,Van/Goods vehicle 3.5t and under,Going ahead,0,Electric
286,826,Van/Goods vehicle 3.5t and under,Turning right,0,Petrol
287,826,Car,Unknown,,Electric
288,826,Van/Goods vehicle 3.5t and under,Going ahead,4,Petrol
289,826,Agricultural vehicle,Going ahead,0,Heavy oil
290,826,Motorcycle over 125cc and up to 500cc,Turning right,0,Unknown
291,826,Motorcycle 125cc and under,Overtaking moving vehicle on offside,3,Petrol
292,826,Motorcycle 50cc and under,Waiting to go ahead,0,Petrol
293,826,Taxi/Private hire car,Waiting to go ahead,0,Petrol
294,826,Motorcycle over 500cc,Unknown,0,Unknown
295,826,Motorcycle over 125cc and up to 500cc,Waiting to go ahead,0,Petrol
296,826,Car,Parked,0,Electric diesel
297,826,Car,Going ahead,0,Electric diesel
298,826,Car,Reversing,0,Electric
299,826,Goods vehicle over 3.5t and up to 7.5t,Going ahead,,Unknown
300,826,Van/Goods vehicle 3.5t and under,Unknown,0,Electric
301,826,Van/Goods vehicle 3.5t and under,Overtaking moving vehicle on offside,,Heavy oil
