id_usager,id_pays,age,sexe,place_vehicule,gravite,cat_usager
477,826,40,Male,Not passenger,Slight,Driver or rider
478,826,16,Female,Not passenger,Slight,Passenger
479,826,40,Female,Seated passenger,Slight,Passenger
480,826,79,Male,Not passenger,Slight,Driver or rider
481,826,15,Female,Not passenger,Slight,Pedestrian
482,826,31,Female,Front seat,Slight,Passenger
483,826,28,Female,Not passenger,Slight,Pedestrian
484,826,17,Male,Unknown,Slight,Passenger
485,826,45,Male,Front seat,Slight,Passenger
486,826,18,Male,Front seat,Serious,Passenger
487,826,25,Female,Rear seat,Slight,Passenger
488,826,4,Male,Not passenger,Serious,Pedestrian
489,826,73,Male,Not passenger,Slight,Pedestrian
490,826,28,Female,Rear seat,Slight,Passenger
491,826,37,Male,Not passenger,Slight,Driver or rider
492,826,6,Male,Rear seat,Slight,Passenger
493,826,70,Male,Front seat,Serious,Passenger
494,826,41,Female,Not passenger,Slight,Driver or rider
495,826,31,Male,Not passenger,Slight,Pedestrian
496,826,22,Female,Rear seat,Slight,Passenger
497,826,17,Female,Front seat,Serious,Passenger
498,826,69,Male,Not passenger,Slight,Driver or rider
499,826,55,Female,Front seat,Slight,Passenger
500,826,38,Female,Front seat,Slight,Passenger
501,826,30,Male,Not passenger,Slight,Passenger
502,826,19,Male,Not passenger,Serious,Passenger
503,826,39,Male,Front seat,Slight,Passenger
504,826,40,Female,Rear seat,Slight,Passenger
505,826,19,Male,Not passenger,Slight,Passenger
506,826,44,Female,Not passenger,Serious,Pedestrian
507,826,35,Male,Rear seat,Serious,Passenger
508,826,31,Male,Front seat,Slight,Passenger
509,826,15,Male,Standing passenger,Serious,Passenger
510,826,54,Female,Rear seat,Slight,Passenger
511,826,60,Male,Not passenger,Fatal,Driver or rider
512,826,26,Female,Front seat,Serious,Passenger
513,826,16,Male,Front seat,Slight,Passenger
514,826,32,Female,Not passenger,Slight,Pedestrian
515,826,59,Female,Rear seat,Serious,Passenger
516,826,78,Female,Seated passenger,Slight,Passenger
517,826,42,Male,Not passenger,Serious,Driver or rider
518,826,67,Male,Not passenger,Slight,Driver or rider
519,826,31,Female,Not passenger,Serious,Passenger
520,826,11,Female,Not passenger,Serious,Pedestrian
521,826,58,Male,Rear seat,Slight,Passenger
522,826,15,Female,Front seat,Slight,Passenger
